BoardNet	N	FPGANet	IOSTANDARD	LOC	SLEW	Other	Notes		
DIO[43]	43	idx_LimO<0>	LVCMOS33	C15			Indexer Input		
DIO[44]	44	idx_ZR<0>	LVCMOS33	D15			Indexer Input		
DIO[45]	45	idx_KillA<1>	LVCMOS33	A16			Indexer Input		
DIO[46]	46	idx_KillB<1>	LVCMOS33	B16			Indexer Input		
DIO[47]	47	idx_LimI<1>	LVCMOS33	C16			Indexer Input		
DIO[48]	48	idx_LimO<1>	LVCMOS33	E16			Indexer Input		
DIO[49]	49	idx_ZR<1>	LVCMOS33	A17			Indexer Input		
DIO[50]	50	idx_KillA<2>	LVCMOS33	C17			Indexer Input		
DIO[51]	51	idx_KillB<2>	LVCMOS33	D17			Indexer Input		
DIO[52]	52	idx_LimI<2>	LVCMOS33	A18			Indexer Input		
DIO[53]	53	idx_LimO<2>	LVCMOS33	B18			Indexer Input		
DIO[54]	54	idx_ZR<2>	LVCMOS33	D19			Indexer Input		
DIO[55]	55		LVCMOS33	D20			Spare Input		
DIO[56]	56	dig_IO<32>	LVCMOS33	D21			DigIO Programmable		
DIO[57]	57	dig_IO<33>	LVCMOS33	D22			DigIO Programmable		
DIO[58]	58	dig_IO<34>	LVCMOS33	E22			DigIO Programmable		
DIO[59]	59	dig_IO<35>	LVCMOS33	E20			DigIO Programmable		
DIO[60]	60	dig_IO<36>	LVCMOS33	F22			DigIO Programmable		
DIO[61]	61	dig_IO<37>	LVCMOS33	F21			DigIO Programmable		
DIO[62]	62	dig_IO<38>	LVCMOS33	F20			DigIO Programmable		
DIO[63]	63	dig_IO<39>	LVCMOS33	F19			DigIO Programmable		
DIO[64]	64	dig_IO<40>	LVCMOS33	F18			DigIO Programmable		
DIO[65]	65	dig_IO<41>	LVCMOS33	F17			DigIO Programmable		
DIO[66]	66	dig_IO<42>	LVCMOS33	F16			DigIO Programmable		
DIO[67]	67	dig_IO<43>	LVCMOS33	G22			DigIO Programmable		
DIO[68]	68	dig_IO<44>	LVCMOS33	G20			DigIO Programmable		
DIO[69]	69	dig_IO<45>	LVCMOS33	G19			DigIO Programmable		
DIO[70]	70	dig_IO<46>	LVCMOS33	G17			DigIO Programmable		
DIO[71]	71	dig_IO<47>	LVCMOS33	G16			DigIO Programmable		
DIO[72]	72	dig_IO<48>	LVCMOS33	H22			DigIO Programmable		
DIO[73]	73	dig_IO<49>	LVCMOS33	H21			DigIO Programmable		
DIO[74]	74	dig_IO<50>	LVCMOS33	H20			DigIO Programmable		
DIO[75]	75	dig_IO<51>	LVCMOS33	H19			DigIO Programmable		
DIO[76]	76	dig_IO<52>	LVCMOS33	H18			DigIO Programmable		
DIO[77]	77	dig_IO<53>	LVCMOS33	H17			DigIO Programmable		
DIO[78]	78	dig_IO<54>	LVCMOS33	H16			DigIO Programmable		
DIO[79]	79	dig_IO<55>	LVCMOS33	J22			DigIO Programmable		
DIO[80]	80	dig_IO<56>	LVCMOS33	J20			DigIO Programmable		
DIO[81]	81	dig_IO<57>	LVCMOS33	J19			DigIO Programmable		
